coordenador id;nome;afiliacao;ref id;ref nome
3355338790654065;Veronica Teichrieb;Universidade Federal de Pernambuco, UFPE, Brasil.;4321649532287831;Verônica Teichrieb
7532050172035129;Judith Kelner;Universidade Federal de Pernambuco, UFPE, Brasil.;4321649532287831;Judith Kelner
0649930882307115;Francisco Carlos de Mattos Brito Oliveira;Universidade Estadual do Ceará, UECE, Brasil.;649930882307115;Francisco Carlos de Mattos Brito Oliveira
8901320181295016;Romero Tori;Universidade de São Paulo, USP, Brasil.;813823100105934;Romero Tori
4340581249924621;Rosa Monteiro Paulo;Universidade Estadual Paulista Júlio de Mesquita Filho, UNESP, Brasil.;4340581249924621;Rosa Monteiro Paulo
4794107935753176;Alvaro Joao Magalhaes de Queiroz;Universidade Federal de Juiz de Fora, UFJF, Brasil.;4794107935753176;Alvaro Joao Magalhaes de Queiroz
3767009717402045;Alexandre Cardoso;Universidade Federal de Uberlândia, UFU, Brasil.;3767009717402045;Alexandre Cardoso
9801031941805250;Alcimar Barbosa Soares;Universidade Federal de Uberlândia, UFU, Brasil.;9801031941805250;Alcimar Barbosa Soares
4006878042502781;Andre Schneider de Oliveira;Universidade Tecnológica Federal do Paraná, UTFPR, Brasil.;4006878042502781;Andre Schneider de Oliveira
4791589931798048;Esteban Walter Gonzalez Clua;Universidade Federal Fluminense, UFF, Brasil.;4791589931798048;Esteban Walter Gonzalez Clua
3191129244573056;Sandro Roberto Fernandes;Instituto Federal do Sudeste de Minas Gerais, IF SUDESTE MG, Brasil.;3191129244573056;Sandro Roberto Fernandes
0584425766553916;Giovanna Graziosi Casimiro;Laboratório de Arte contemporanea, Tecnolodia e Mídias Digitias, LABART, Brasil.;584425766553916;Giovanna Graziosi Casimiro
6001559184049370;Mirella de Medeiros Misi;Universidade Federal da Bahia, UFBA, Brasil.;6001559184049370;Mirella de Medeiros Misi
3827444548540732;Adilson Vahldick;Universidade do Estado de Santa Catarina, UDESC\CEAVI, Brasil.;3827444548540732;Adilson Vahldick
0110284367744326;Edson Roberto Minatel;Ablevision Sistemas Computacionais Ltda, ABLEVISION, Brasil.;9844015070032232;Edson Minatel
0992498795960159;Eunice Pereira dos Santos Nunes;Universidade Aberta do Brasil, UAB, Brasil.;8064558616443413;Eunice Pereira dos Santos Nunes
4186515742605446;Victor Hugo Costa de Albuquerque;Universidade Federal do Ceará, UFC, Brasil.;4186515742605446;Victor Hugo Costa de Albuquerque
0116830050245232;Paulo Roberto Boa Sorte Silva;Universidade Federal de Sergipe, UFS, Brasil.;116830050245232;Paulo Roberto Boa Sorte Silva
5458829100371043;Regina Coeli Ruschel;Universidade Estadual de Campinas, UNICAMP, Brasil.;409865244128616;Regina Coeli Ruschel
4465619366143200;Mylene Christine Queiroz de Farias;Universidade de Brasília, UnB, Brasil.;4465619366143200;Mylene Christine Queiroz de Farias
2259041691301555;Marcelo da Silva Hounsell;Universidade do Estado de Santa Catarina, UDESC, Brasil.;48790978449306;Marcelo da Silva Hounsell
6620664028434195;Luis Fernando Soares;Universidade Federal de São João Del-Rei, UFSJ, Brasil.;4611623889620565;Luis Fernando Soares
2413369452452350;Liz Carmem Silva-Pereira;Instituto Federal de Educação, Ciência e Tecnologia do Pará, Campus Itaitub, IFPA, Brasil.;2413369452452350;Liz Carmem Silva-Pereira
1584574231456379;Breno Maciel Souza Reis;Universidade Federal do Rio Grande do Sul, UFRGS, Brasil.;1584574231456379;Breno Maciel Souza Reis
3860172079417937;Adriane Borda Almeida da Silva;Universidade Federal de Pelotas, UFPEL, Brasil.;7229833456758124;Adriane Borda Almeida da SIlva
6495915655298176;Adriana Gomes Alves;Universidade do Vale do Itajaí, UNIVALI, Brasil.;6495915655298176;Adriana Gomes Alves
3196052576107598;Saul Emanuel Delabrida Silva;University of South Australia, UNISA, Austrália.;3196052576107598;Saul Emanuel Delabrida Silva
6817254319412151;Polise Moreira De Marchi;Fundação Armando Álvares Penteado, FAAP, Brasil.;6817254319412151;Polise Moreira De Marchi
6919473605146182;Fabio Pinto da Silva;Universidade Federal do Rio Grande do Sul, UFRGS, Brasil.;6919473605146182;Fabio Pinto da Silva
5734518155680206;Mariana Pohlmann de Oliveira;Universidade Federal do Rio Grande do Sul, UFRGS, Brasil.;6919473605146182;Mariana Pohlmann de Oliveira
2746290295878975;Kate Mamhy Oliveira Kumada;Universidade Federal do ABC, UFABC, Brasil.;2746290295878975;Kate Mamhy Oliveira
5123696681613759;Tania Rossi Garbin;Universidade Federal de Ouro Preto, UFOP, Brasil.;8362852284802251;Tânia Rossi Garbin
2343273642042806;Márcia Regina de Freitas;UNESP Guaratinguetá, FEG, Brasil.;2343273642042806;Márcia Regina de Freitas
5391034042353187;Eliane Schlemmer;Universidade Aberta de Portugal, UAB-PORTUGAL, Portugal.;1572779834379796;Eliane Schlemmer
3381049256541106;Marcelo Gitirana Gomes Ferreira;Universidade do Vale do Itajaí, UNIVALI, Brasil.;3381049256541106;Marcelo Gitirana Gomes Ferreira
2125238602476950;Simone Keller Füchter;Faculdade Estacio de Sa, ESTACIO, Brasil.;2125238602476950;Simone Keller Füchter
1744732999336375;Windson Viana de Carvalho;Universidade Federal do Ceará, UFC, Brasil.;1744732999336375;Windson Viana de Carvalho
0453892715674953;Flávio de Barros Vidal;Universidade de Brasília, UnB, Brasil.;453892715674953;Flávio de Barros Vidal
8243001226255815;Pablo Alexandre Gobira de Souza Ricardo;Universidade do Estado de Minas Gerais, UEMG, Brasil.;8243001226255815;Pablo Alexandre Gobira de Souza Ricardo
9999217523842385;Eliane Pozzebon;Universidade Federal de Santa Catarina, UFSC, Brasil.;9999217523842385;Eliane Pozzebon
8655724197142007;Josete Mazon;Universidade Federal de Santa Catarina, UFSC, Brasil.;9999217523842385;Josete Mazon
