lattes id;coordenador;ano inicio;ano fim;titulo;tipo
4321649532287831;Verônica Teichrieb;2010;2012;ARVS - Hybrid model based markerless 3D tracking for augmented reality and visual servoing;Augmented Reality
4321649532287831;Judith Kelner;2007;2011;TechPetro;Augmented Reality
1916245590298485;Veronica Teichrieb;2010;2011;Hybrid model based markerless 3D tracking for augmented reality and visual servoing;Augmented Reality
0649930882307115;Francisco Carlos de Mattos Brito Oliveira;2019;Atual;Augmented Reality Training Arcade (ARTRADE) Ano II;Augmented Reality
0813823100105934;Romero Tori;2007;2009;FAPESP TIDIA-Ae (fase 2) Aprendizado Eletronico sobre Plataforma de Redes de Alta Velocidade;Augmented Reality
9931293076574399;Romero Tori;2007;2009;FAPESP TIDIA-Ae (fase 2) Aprendizado Eletronico sobre Plataforma de Redes de Alta Velocidade;Augmented Reality
8529032048850930;Romero Tori;2007;2009;FAPESP TIDIA-Ae (fase 2) Aprendizado Eletronico sobre Plataforma de Redes de Alta Velocidade;Augmented Reality
4340581249924621;Rosa Monteiro Paulo;2019;2022;A Constituição do Conhecimento Matemático com a Realidade Aumentada;Augmented Reality
3355272528185691;None;2019;Atual;Viajero Project;Augmented Reality
0521761025000380;Romero Tori;2007;2009;FAPESP TIDIA-Ae (fase 2) Aprendizado Eletronico sobre Plataforma de Redes de Alta Velocidade;Augmented Reality
3355338790654065;Veronica Teichrieb;2010;2011;Hybrid model based markerless 3D tracking for augmented reality and visual servoing;Augmented Reality
4794107935753176;Alvaro Joao Magalhaes de Queiroz;2012;2014;Augmented dance in Rio de Janeiro: an immersive experience of contemporary dance and augmented reality;Augmented Reality
3767009717402045;Alexandre Cardoso;2007;2012;Título: Realidade Virtual e Realidade Aumentada na Visualização da Informação;Augmented Reality
3683706649252319;Alexandre Cardoso;2007;2009;Realidade Virtual e Realidade Aumentada na Visualização da Informação;Augmented Reality
8901320181295016;None;2007;2010;FAPESP TIDIA-Ae (fase 2) Aprendizado Eletronico sobre Plataforma de Redes de Alta Velocidade;Augmented Reality
9801031941805250;Alcimar Barbosa Soares;2019;2020;Amputee-Driven Design and Development of Upper Limb Prosthesis using Virtual-Physical Methodologies;Augmented Reality
4006878042502781;Andre Schneider de Oliveira;2019;Atual;Collective Intelligence and Consensual Task-Allocation: a novel paradigm to Multi-Robot Systems;Augmented Reality
lattes id;coordenador;ano inicio;ano fim;titulo;tipo
2227324756659206;None;2005;2007;Desenvolvimento e instalação de um sistema de realidade mista (Mixed Reality), em cooperação com a Universidade de Bremen (Alemanha) e o SENAI-RS, no SENAI Mecatrônica em Caxias do Sul.;Mixed Reality
4791589931798048;Esteban Walter Gonzalez Clua;2020;Atual;(CNPQ PQ1D) Deep Learning e Aprendizagem de Máquina para Interfaces Tangíveis, Imersão e Composição em Realidade;Mixed Reality
3191129244573056;Sandro Roberto Fernandes;2018;2019;Mixed Reality Aplicada a Visualização de Espaços Físicos;Mixed Reality
lattes id;coordenador;ano inicio;ano fim;titulo;tipo
lattes id;coordenador;ano inicio;ano fim;titulo;tipo
0584425766553916;Giovanna Graziosi Casimiro;2014;Atual;ARt[in]Muzz;Realidade Aumentada
6001559184049370;Mirella de Medeiros Misi;2019;2020;Realidade Aumentada Espacial - Ateliê de Criação (ATO II);Realidade Aumentada
6001559184049370;Mirella de Medeiros Misi;2019;2020;Construção dramatúrgica em ambientes híbridos de Dança Digital: Um estudo empírico sobre a estética interativa;Realidade Aumentada
6001559184049370;Mirella de Medeiros Misi;2018;2019;Realidade Aumentada Espacial - Ateliê de Criação;Realidade Aumentada
3827444548540732;Adilson Vahldick;2022;Atual;Ferramenta de Autoria de Realidade Aumentada na Educação;Realidade Aumentada
9844015070032232;Edson Minatel;2014;2016;X-factory - inovação em processos industriais versáteis com modelo de fábrica inteligente para inclusão produtiva e aumento de competitividade;Realidade Aumentada
8064558616443413;Eunice Pereira dos Santos Nunes;2005;2007;Usando técnicas de realidade aumentada no processo de inclusão digital de crianças hospitalizadas. Cadastrado na Propeq sob número 090/CAP/2005;Realidade Aumentada
4186515742605446;Victor Hugo Costa de Albuquerque;2013;2017;Sistemas inteligentes aplicados na área biomédica;Realidade Aumentada
